logFC;AveExpr;t;P.Value;adj.P.Val;B
EGR1;9.5823503110502;4.6956034846628;24.2910418006736;6.79654183444001e-32;1.0856116272151e-27;56.5109085587214
KDM6B;2.93535422128902;5.65762123077213;14.4724246912772;8.21563273556758e-21;4.88582576309541e-17;37.03164737465
JUNB;3.44589663764622;7.51971638736024;14.3523812029876;1.19706248319325e-20;4.88582576309541e-17;36.6767647803315
HIST2H2BE;3.41890725979269;4.10298607160974;14.345426750945;1.22352113268526e-20;4.88582576309541e-17;36.6022723418639
EFNA1;4.02543059933486;6.28133112604734;14.1855127551456;2.02611784217361e-20;6.47263605860782e-17;35.9809559259678
BHLHE41;4.95268947225885;1.82742220809118;13.4433496979246;2.19640000142018e-19;5.84718287044743e-16;32.8462682808993
CCNL1;2.78335495319368;6.66688833921261;12.8812475557577;1.39955359255141e-18;3.16923723566847e-15;32.0168347337842
PER1;4.06263516232015;4.74986925212469;12.8259197636054;1.6830913340996e-18;3.16923723566847e-15;31.6965335023618
DUSP8;3.43202970940416;3.14987466445677;12.7829328605377;1.94300274652849e-18;3.16923723566847e-15;31.6302427545839
MAFF;3.69683924992265;5.04912043692588;12.3744542987299;7.69557856489789e-18;1.11746796742831e-14;30.1336098169834
GPR142;7.39771943625491;-3.50644260452331;12.7766699807796;1.98412147728571e-18;3.16923723566847e-15;29.4223899875685
BCL3;2.86987325100478;5.78137621365155;12.0043378032773;2.7282511828776e-17;3.63152967867532e-14;29.0773918290712
ZNF77;3.518924911091;2.27968738594433;11.7198948840523;7.30194183153404e-17;8.97183975962256e-14;27.7592743308717
CXCL2;6.82512113988818;5.84158763755381;11.6471921175886;9.40657347901314e-17;1.07322284414483e-13;27.6889035808164
ANXA2;-1.64991383078204;11.9428953925776;-11.3380269867476;2.78212526709125e-16;2.96259245941656e-13;26.7612713265923
IER5;2.26757417850263;6.74414866988137;11.1089244128931;6.26145259094253e-16;6.25088638969531e-13;25.9931857983698
DDIT3;3.49587465787418;4.805993018108;10.943954876553;1.12738714382599e-15;1.05927969696074e-12;25.4174108252085
NFIL3;2.4128634513779;5.24274919941578;10.7796585903787;2.03160087575074e-15;1.80282004379815e-12;24.8421672162121
FBXW7;1.81920140845676;4.67003251520152;10.656700665477;3.16343395090111e-15;2.65944897356545e-12;24.403799459636
HLA-B;2.89119046257366;6.92015821920411;10.4966194636644;5.64535253221841e-15;4.50866079985623e-12;23.8386547248229
B3GALNT2;1.88960285432423;5.13493423273764;10.3530781256598;9.51304886778841e-15;7.23580616977068e-12;23.3261226822387
ZFP36;3.11980657349339;6.64041748225343;10.2829908720393;1.22840937550503e-14;8.91881043406445e-12;23.0657991868941
C3;1.87244903888879;7.4188415235198;10.2575570387327;1.34800368592215e-14;9.21081896427303e-12;22.9522332612857
C1R;2.25532743630738;5.10277323988421;10.0884226627509;2.50490480674551e-14;1.60043377912584e-11;22.3449404068996
LOC284454;2.30481548327366;4.2530249121424;10.0524025803776;2.85940310203526e-14;1.75666329803113e-11;22.2461149245243
LTB;6.54887389064538;1.08419000471743;10.2503543625068;1.38395827422872e-14;9.21081896427303e-12;21.8271957638939
ZNF211;2.21600033360376;3.79582842387473;9.94214467570922;4.29150426120243e-14;2.5388221320069e-11;21.8128543309946
ALDH1B1;-1.48748843388216;5.83886176642776;-9.86550357215365;5.6951987713451e-14;3.24890749909626e-11;21.5443418711989
MDM4;2.06393055690285;4.55017819172143;9.73716809924132;9.15997253361946e-14;4.71974971869366e-11;21.1043955720972
PLD6;2.04905516881949;2.82487855074357;9.70961569157367;1.01460733659679e-13;5.06447593358143e-11;20.9925274317948
EGR2;5.12085181488361;-0.764264447910468;9.80271258030574;7.18449069216304e-14;3.95716792503174e-11;20.9543864820965
PSAP;-1.53052818358613;10.1799942835969;-9.65999625881918;1.21996859969218e-13;5.90501770996459e-11;20.7296826420706
ZNF764;2.34803627724333;2.91394814924161;9.62309100741012;1.39944710961368e-13;6.57452020054684e-11;20.6355051711203
ZNF596;3.16680902636249;1.25102349762722;9.56942348583465;1.70899873584504e-13;7.79938194504367e-11;20.3744715774595
CREBRF;2.48560298139255;3.67844758566454;9.45679781901618;2.60171973350179e-13;1.15436859175623e-10;20.0827948356829
PPP4R4;6.50660820573134;1.22475084925861;9.75438088616843;8.59351221011868e-14;4.57547235107419e-11;20.035931831033
SNIP1;2.18045219245055;4.50112938424245;9.40318211147926;3.17930645922724e-13;1.37251519116856e-10;19.8824442461557
NFKBIA;3.20270520903492;7.75229071690108;9.26732755797673;5.29023518635296e-13;2.16669042645169e-10;19.3115685836552
IER2;2.24988118173388;6.6847675236294;9.19993845438271;6.81454996741668e-13;2.67152233192829e-10;19.1082216158473
PPP1R15A;3.15053746848211;7.71277306254656;9.19827349303723;6.85734774989419e-13;2.67152233192829e-10;19.0670167345118
COL2A1;5.09560799870388;-2.68292045467582;9.38534971268148;3.39874026130726e-13;1.42863363668055e-10;18.9971398179976
EZR;-1.11688956369296;9.02927890057987;-9.16238154214843;7.84866044793645e-13;2.98492031749735e-10;18.9312294093527
ZNF57;3.07543425720595;2.77897889398544;9.14294559959093;8.44441613404238e-13;3.13680602114091e-10;18.851789440841
CSRNP1;2.41581143170223;5.39547509294435;9.07987521333581;1.07096144163971e-12;3.80143713495801e-10;18.6772594757003
NFKBID;4.45492777327093;3.11949817052959;9.0904895357603;1.02895189103739e-12;3.73532921716822e-10;18.4515821363007
PPM1D;1.73969066775843;4.47318075484858;9.01550989064418;1.36535542422401e-12;4.64017493428299e-10;18.4083255433287
DHCR24;-1.50117632526147;7.97554884037439;-8.97086152379994;1.61619907647317e-12;5.37823913510539e-10;18.2430356567136
FOXC2;4.99273463680068;0.307559859756272;9.04249763942159;1.23311713502631e-12;4.28186521690766e-10;17.8764015971332
BBC3;2.64688333689311;4.25373422285501;8.82865667392539;2.76852462298967e-12;9.02482526592124e-10;17.6978081371001
CTDSP2;1.97609696942144;6.46617519509465;8.62362047915409;6.03160129953949e-12;1.88907387367734e-09;17.0117006076289
