logFC;AveExpr;t;P.Value;adj.P.Val;B
NFIL3;4.17436867075413;5.24274919941578;21.2182034918729;7.44539212187812e-29;1.18925248362759e-24;55.2447995057373
EFNA1;4.62041056720949;6.28133112604734;20.7250887615567;2.46424632956498e-28;1.31204688740471e-24;54.0841254988915
PIM1;3.17547441402043;5.72075815752491;20.2741718858491;7.50567037859119e-28;2.39776145914474e-24;52.7999144344521
EGR1;6.64342225222152;4.6956034846628;20.7402172485724;2.37462943941382e-28;1.31204688740471e-24;52.6339642325676
ZNF57;5.70622991732151;2.77897889398544;20.3240551601981;6.62945147693918e-28;2.39776145914474e-24;52.4122743068252
STAT2;3.24219016912609;6.3721295715847;18.2486990249457;1.42238792378809e-25;3.78663371777785e-22;47.8044944115034
CCNL1;3.75716902666625;6.66688833921261;18.0875380690287;2.19784199710941e-25;4.40549331160812e-22;47.4960690199371
BHLHE41;5.4617627818211;1.82742220809118;18.0860915645662;2.20647007405403e-25;4.40549331160812e-22;46.6675085127652
ZNF77;5.14465690456537;2.27968738594433;17.9891834347628;2.87021252685482e-25;5.09398941016133e-22;46.3550201025902
KDM6B;3.49127392055739;5.65762123077213;17.1935870506168;2.58365266108256e-24;3.75169854140653e-21;45.0103381784912
MAFF;4.23538987954421;5.04912043692588;17.2292954680744;2.33752594020485e-24;3.73373018428921e-21;45.0048695858789
PLD6;3.36377886075019;2.82487855074357;17.0904071184275;3.45310466513568e-24;4.59637006801768e-21;44.5285835597459
ALDH3A2;-2.36156034193431;7.13100078817438;-16.9881507522745;4.60858367602322e-24;5.66253131208607e-21;44.4684516300113
CSRNP1;4.04458183778839;5.39547509294435;16.6941451883065;1.06376302300493e-23;1.21367762617556e-20;43.6483552083534
LOC284454;3.57858982729467;4.2530249121424;16.4480157137429;2.15901120241149e-23;2.29905906240791e-20;42.8842514760037
HIST2H2BE;4.00428775779086;4.10298607160974;16.3790227580515;2.63614200044071e-23;2.63169351081497e-20;42.6772498094173
PER1;4.73773462414691;4.74986925212469;15.68542161819;2.02373663461711e-22;1.90147913321995e-19;40.6216165220164
AHCY;-2.27595861883744;8.10614183535965;-15.5862257523428;2.72127733876678e-22;2.28773489116431e-19;40.4642185126209
DUSP8;4.38894960378115;3.14987466445677;15.6127729915095;2.51362844242223e-22;2.23056595060057e-19;40.4137170491514
CREBRF;3.62232337177307;3.67844758566454;15.2349389643607;7.84144301512705e-22;6.26256846403122e-19;39.3743995285564
NFKBIA;5.17322905559137;7.75229071690108;15.196823803658;8.80352640140666e-22;6.60128150833881e-19;39.3187137874327
TLK2;1.950487338276;5.69585984497325;15.1862113993622;9.09210500115532e-22;6.60128150833881e-19;39.2729302583693
SNIP1;3.09952109964101;4.50112938424245;15.1566556686073;9.94735900881732e-22;6.90822458468865e-19;39.1077979218057
MXD1;2.67350663908472;5.27726193519663;14.9356814350943;1.95473755334891e-21;1.30095928915175e-18;38.5103844449074
PPP1R15A;4.80617139081893;7.71277306254656;14.8438315211002;2.59299677268145e-21;1.65671749800163e-18;38.2486853976995
ZBTB43;3.83593057952076;4.90026633410205;14.7723860162112;3.23271724000394e-21;1.98600740286857e-18;38.0121961661788
PPP1R10;2.7589955041667;6.83636828893834;14.6023254858309;5.4780156993854e-21;3.24075350986234e-18;37.5066220271477
ZNF211;2.77129644006855;3.79582842387473;14.5617303507677;6.21630206225734e-21;3.54617831572988e-18;37.3010755371679
CHD2;3.61211252059307;7.41469909323443;14.5106746372;7.28981735714884e-21;3.89198513434682e-18;37.2238438239474
ANXA2;-2.08894285312009;11.9428953925776;-14.5097978959908;7.30980742693324e-21;3.89198513434682e-18;37.2090956569156
PARP12;2.76329367051866;5.65050951561782;14.4551274984744;8.67257527970124e-21;4.46861435298929e-18;37.0094235242293
GSR;-1.61107408367343;7.19298857777686;-14.2891429894518;1.46066522810956e-20;7.24736012262323e-18;36.5354714469905
JUNB;3.50423642992066;7.51971638736024;14.2812842213185;1.49729471011436e-20;7.24736012262323e-18;36.5013659386055
ZNF317;1.97521033044663;5.40158841784489;14.1929565848097;1.97895977866519e-20;9.22877244480937e-18;36.2227946294281
SERTAD2;3.33952820729479;5.31840391156845;14.1861234564862;2.02220644567913e-20;9.22877244480937e-18;36.2126473524154
DDX58;4.10520865410591;6.27097869464611;13.8413767973508;6.06493548588244e-20;2.69097818100001e-17;35.1222409175488
PLEKHG2;2.64599547753686;6.15524484684998;13.7976507953572;6.97902252140207e-20;2.96685685309737e-17;34.9873895851244
TRIM38;2.19881822202799;5.45717321862107;13.7941404916637;7.05819573140299e-20;2.96685685309737e-17;34.9457186146188
RBM39;2.00286219157394;7.98678977981919;13.7602813931605;7.87016015660996e-20;3.22333508157772e-17;34.8605852870699
IER2;3.37032297514284;6.6847675236294;13.6733833616455;1.04145727299449e-19;4.04501266193575e-17;34.586450951091
IFIT1;6.77630041647589;5.94936131085521;13.6811054819419;1.01581238816383e-19;4.04501266193575e-17;34.5541152621741
COX15;-1.91931688841629;5.54860234049505;-13.6638970658077;1.07385997957238e-19;4.04501266193575e-17;34.5320942793625
PSAP;-2.15825994249627;10.1799942835969;-13.6595820696049;1.08893473025253e-19;4.04501266193575e-17;34.5289303057238
SNHG10;3.28238098455132;2.7935421972455;13.6201976894145;1.23682465378723e-19;4.48995458975988e-17;34.3254963551827
IER5;2.71805869484964;6.74414866988137;13.5871618840015;1.37646648181004e-19;4.88584424754485e-17;34.312525066358
