logFC;AveExpr;t;P.Value;adj.P.Val;B
IRF9;2.14961057554541;5.69251971461673;12.7157915570573;2.43270200450009e-18;3.88575491178799e-14;28.6290858682602
IFI6;4.32028702641447;5.93628900640423;9.85124921401879;6.00338290947427e-14;4.79460176065163e-10;19.6924419846158
IRF7;3.15676320675722;4.37002502482096;9.73219253690969;9.33061772054935e-14;4.96793189501116e-10;18.6336825071939
MX1;5.00553548352799;5.16970078610897;9.39509707535873;3.27697093128998e-13;1.30857641713737e-09;16.2723722287051
PARP9;2.06327528934306;5.96721682175687;8.02151979307754;6.02654764902234e-11;1.37517207996905e-07;14.0849802447508
ISG15;3.75165199535175;5.44260783239874;8.18496841083913;3.2201943411534e-11;8.57269403520721e-08;13.8648026719312
IFIT1;4.27971670522158;5.94936131085521;8.21167262828874;2.90712368606583e-11;8.57269403520721e-08;13.8332418989284
TRIM14;1.13594359402734;5.61353446166869;6.35481450381549;3.65033971807897e-08;6.47854181298615e-05;8.4280336864863
REC8;1.38430631640918;2.59796725616505;6.58358983916519;1.52169761968163e-08;3.03825950989683e-05;8.38193239354658
DDX58;1.75335300908012;6.27097869464611;5.95274309224475;1.68087014103779e-07;0.000260889251134669;6.96792596239144
DTX3L;1.370322766428;6.16391056056559;5.91548755792517;1.93466717094531e-07;0.000260889251134669;6.89852121730021
C1R;0.862630231915166;5.10277323988421;5.80271422475232;2.95807378667497e-07;0.000363456250727379;6.55088171955216
HERC6;1.44884344388815;4.68502156705926;5.59993275656252;6.31905824106353e-07;0.000720959409175055;5.69698218366994
HELZ2;1.4856258961336;6.07758980091184;5.53804192931141;7.95637225763126e-07;0.000847247560474294;5.63018868123439
OAS1;1.5362226930672;6.37919056535938;5.37363214069254;1.46266450295185e-06;0.00129795222809166;5.08995040784053
SP110;1.26768353125367;5.01719725135708;5.39615226905118;1.3460115483989e-06;0.00127350932872991;4.98347824985822
DDX60;2.27642899894377;4.68288888482171;5.34963528423146;1.59794644339071e-06;0.00134336834422525;4.7774688872833
PARP10;1.87943073342952;3.66769505714991;5.39427171263376;1.35539088389209e-06;0.00127350932872991;4.52969483742562
PARP12;0.855544576216388;5.65050951561782;5.0470519773369;4.82659464647488e-06;0.00350432710400651;3.96278499931536
IFI27;3.46895331523034;3.94707401304923;5.28031884913178;2.06188169673631e-06;0.00164672181709845;3.66725522023514
XAF1;4.58868097010612;2.04112888258615;5.91204188917185;1.959976844435e-07;0.000260889251134669;3.65337600212122
SP100;0.925866789230406;6.74049985214619;4.93817375374811;7.14880378501654e-06;0.00496468881991605;3.62871239493616
EIF2AK2;1.220041866869;6.41169363974569;4.92228484056807;7.56876160272119e-06;0.00503732621167773;3.57956435890652
LAP3;0.950530023954919;6.21036471870582;4.88319415159921;8.70767277021251e-06;0.00556350628634418;3.45147962051758
IFIT5;0.933299287765956;5.39063097161475;4.62333726260308;2.18849951036215e-05;0.0124846080996481;2.59936745225986
IFI44;4.23854692902719;3.14237251834312;5.23192694839494;2.46208308449094e-06;0.00187270729088446;2.59563230068047
STAT1;1.3147975687401;8.34002878356139;4.45627942053711;3.91770497446848e-05;0.0215784488128224;2.07532211384842
RAP1GAP;-0.671352790088876;4.17735516831243;-4.41984429214097;4.44312711830249e-05;0.0236566898202152;1.96774160107682
PLSCR1;1.06894409014135;6.65153925677603;4.35484408040844;5.55565630540193e-05;0.0286259671503823;1.76363942137941
OAS3;1.37829124369391;7.41234698927758;4.33721389489834;5.90138198707051e-05;0.0294571170248366;1.69999598282921
IFITM1;4.09055867196357;3.13980197647217;4.73853158271069;1.45781584174156e-05;0.0089560355538992;1.57938989939458
IFIT3;1.95617562649897;5.89615448444515;4.2726170751966;7.35580268671525e-05;0.035604314034819;1.45291437917411
OAS2;3.85741467202841;4.10007419134993;4.62819011778563;2.15152486188079e-05;0.0124846080996481;1.44795404659329
C19orf66;0.854508453408869;5.17200616439538;4.22628119040748;8.60750366780609e-05;0.0404375459076079;1.3591634558082
IFI35;1.13678549780552;4.81822609156378;4.19500986708703;9.56646882344868e-05;0.0436586304334131;1.2755173810952
USP18;0.909499034522148;3.90927069717312;4.07094353394624;0.000144959220997949;0.0643176010277844;0.888232836147386
UAP1L1;-0.768124571980578;4.13875655049392;-4.00070395387077;0.000182948147654178;0.0769008095389521;0.693891488704397
OASL;2.61696910640281;3.95599609355853;4.05856644014405;0.000151048645806783;0.0652081086343717;0.478211803129466
C3;0.679951800346984;7.4188415235198;3.84860801213599;0.000300842890382468;0.123214448412286;0.231412791949435
C1S;0.714944298947201;5.71035193828232;3.77388542798527;0.000382794715608337;0.152859499810299;0.00860006640544686
STAT2;0.567952387572278;6.3721295715847;3.61616399892473;0.000631542045081965;0.234595839211494;-0.42181801286978
IFIH1;1.80426276963223;4.9657700739533;3.57717270500659;0.000713541533783848;0.259031793616577;-0.501127346918612
UBE2L6;0.749744279809558;5.99370719899026;3.5550093014291;0.000764577355462041;0.271390979973226;-0.58245671747983
STEAP1;0.670224064011491;4.81814477466958;3.45958659920407;0.0010267523286066;0.328006298896664;-0.826747696828795
BST2;2.66357775904044;1.67729282586085;3.68938876673376;0.000501233434829236;0.195273211086034;-0.861245992311799
THEMIS2;1.5249705655245;2.31558186804406;3.51463022039912;0.000866621909959967;0.294522378038097;-0.974463373720498
SAMD9L;1.90490433829777;3.98513460302102;3.36731149148457;0.00135988693364181;0.417720653674242;-1.11382054016188
ADAR;0.576409627803818;8.4907106589943;3.38196905963982;0.00130087965928235;0.407430407798371;-1.12320941565611
PNPT1;0.66222405779722;6.60743166013291;3.33544664418291;0.00149702002317563;0.451167940192157;-1.20508686442487
SAMHD1;0.968852369422418;4.81719949825595;3.32074025777616;0.00156462830506964;0.462811257719953;-1.20669664548138
ZNF528;-2.48605570476832;-0.787079167233211;-3.67136164576923;0.000530693254767846;0.201827699009686;-1.37219631882486
IFI44L;4.27648511207439;1.88471542920709;3.52865135667954;0.000829801452856153;0.28813953492329;-1.37261677005411
SAMD9;1.64139825734064;5.80577453454667;3.22608339933348;0.00207375925079553;0.591502794874232;-1.40636235653111
IFI16;1.19134696671413;5.25075689894666;3.18914981390406;0.00231184578029502;0.605362502436922;-1.51549494269415
DANCR;-0.580860801741816;4.53952780098929;-3.20069615031863;0.0022347844984192;0.605362502436922;-1.52074971066554
RASGEF1B;-2.87754180464169;-0.42494915435672;-3.48917166435576;0.000937485036160681;0.31196767672072;-1.56113972637224
OR2B6;2.38543019442397;-2.4465006913763;3.46329532770294;0.00101513483015245;0.328006298896664;-1.58200903521547
BATF2;1.25780923598307;2.45589558958035;3.19138787084671;0.00229671634924271;0.605362502436922;-1.59374107222489
SNORD26;2.07273040689163;-0.175497084790211;3.19131690263765;0.00229719466763547;0.605362502436922;-1.72681243976876
IL3RA;-0.960685115372421;0.117804909050685;-3.07396640510022;0.0032297862138367;0.787547898609634;-1.77236698077266
TRIM21;0.452974145580609;5.696467164463;3.071351936838;0.00325412642009866;0.787547898609634;-1.8621523458955
PHF11;0.874294816488653;2.77204669222216;3.03680634172954;0.0035922613461648;0.843811624739563;-1.87026960334636
TDRD7;0.566484505405656;5.40794393548283;3.03861743591614;0.00357374897755425;0.843811624739563;-1.9556122870175
SNORD1A;2.30172973923893;-2.52714829119547;3.27677129330952;0.0017843772525657;0.518215597367853;-1.96691334282447
DDX60L;0.979212760341526;5.85219846301997;3.01802596852148;0.00378957499692378;0.877259151099471;-1.98116878732712
ITIH6;-2.37053537060258;-2.82713851254702;-3.19439796581148;0.00227651458995594;0.605362502436922;-2.05444919557821
EPSTI1;2.50035999742951;1.00018281193922;3.164317519664;0.00248611803357722;0.640496183069821;-2.09743688883136
FAM102A;-0.479401996144194;5.72047731083521;-2.99370966887223;0.00406007691606059;0.9134029377498;-2.10149115997648
CMPK2;1.99057588965842;2.38046460535757;2.93509370340801;0.00478777639591479;0.999256156617403;-2.19574455341745
GSDMC;-2.29202801018834;-0.490035152528772;-3.13786252719846;0.00268530278025883;0.680830814429751;-2.23518677792885
TRIM25;0.538448821671639;7.28729482285877;2.91937484429096;0.00500257230149968;0.999256156617403;-2.29743526305798
