logFC;AveExpr;t;P.Value;adj.P.Val;B
STC2;3.9847032997065;5.9790574288693;22.0172134416748;1.12020559913896e-29;1.78930440350466e-25;56.4383368746092
C6orf48;2.27572026682295;6.20036895650299;16.7970103387156;7.92975323090889e-24;6.33309741786538e-20;43.7436316776606
ASNS;3.10774012608396;3.89104542976511;16.6044099051647;1.37585530445187e-23;7.3255122593366e-20;43.214911869358
DHCR24;-2.11268815195442;7.97554884037439;-14.1896016439184;2.0000748129072e-20;7.98679874664166e-17;36.133194259469
CEBPG;1.60146712194674;6.45345464917993;13.5853607726714;1.3845232174822e-19;4.42299787056865e-16;34.2637526615123
FAM129A;3.56714350623646;3.46468342735299;13.1072520104608;6.61447546924409e-19;1.7608836111706e-15;32.5111908288483
CBS;2.42789694479799;2.57292218386714;12.2098078328841;1.34837975103615e-17;3.07680996618578e-14;29.7448456320526
GREM1;3.14682016288276;0.547252467840541;11.9627502820634;3.1486029858554e-17;6.28657943663355e-14;28.869288554232
RNF43;-2.21259796480076;4.48484090807332;-11.7237190131984;7.20544452440076e-17;1.18269315342593e-13;28.0404142387958
FYN;2.18850130738471;3.00292730476868;11.715892854823;7.40432701074268e-17;1.18269315342593e-13;27.8436864073977
CDCP1;2.67780296999936;6.75538261119917;11.4097122072659;2.16132584648021e-16;3.13844161325712e-13;27.0371583861487
FSTL1;1.55548111157029;6.76133257754213;11.2474577811806;3.83101377367454e-16;5.09939858390861e-13;26.484980412303
RBM14;-2.00647254903556;5.39635020920169;-11.2223331531685;4.1872951728839e-16;5.14489736895959e-13;26.3844588386027
GAS5;2.66284109095823;7.05436070549746;11.1753422770586;4.94600898487382e-16;5.64304296538497e-13;26.2334030615419
ABLIM3;1.71573590509328;5.18083114387045;11.0682380346807;7.23654036749947e-16;7.22432870562931e-13;25.8508284003749
PCDH1;3.20050151062568;4.15602502962001;11.1267798140312;5.87649119465733e-16;6.25767959015077e-13;25.7730056588552
