logFC;AveExpr;t;P.Value;adj.P.Val;B
TMEM140;3.69870044506578;3.55943037944314;20.6200820200895;3.18861430709041e-28;5.09317363271552e-24;53.1494427577664
USP18;3.87268974985087;3.90927069717312;19.2027771284069;1.14327665043527e-26;9.13077896870127e-23;50.086823371603
MB21D2;2.96336247101843;3.70374917857474;17.3893011081345;1.4951688959599e-24;7.96077759172252e-21;45.4405580101334
BATF2;4.1883586249276;2.45589558958035;17.030779747995;4.08550785962484e-24;1.63144542604469e-20;44.2707053527013
ICAM1;3.62504416642468;5.9041402208699;15.8277124404462;1.32601666730704e-22;4.23609284537908e-19;41.1871307734076
STC2;2.69761503510468;5.9790574288693;15.3396755549327;5.7105777981936e-22;1.30313743593584e-18;39.7200353752484
STAT2;2.30646765308386;6.3721295715847;15.3396590038219;5.7108633641463e-22;1.30313743593584e-18;39.7165037436187
IFIT2;5.28186991308754;5.82353811475695;15.1379646950981;1.052986078617e-21;2.10241832921867e-18;39.126408912728
TAP1;2.67898465363942;6.54714753205333;15.0896716740748;1.22001670262213e-21;2.16525853233147e-18;38.985327302551
TRIM21;2.18938687518226;5.696467164463;14.9030545540508;2.16086153154954e-21;3.45154412434408e-18;38.3797102151604
PARP12;2.26597302612257;5.65050951561782;14.520384551955;7.07209455556258e-21;8.6894281796924e-18;37.23659765071
CTGF;2.45019546878595;6.01929416817925;14.4566315632906;8.63184023420027e-21;8.68986747333697e-18;37.0569491480507
OAS2;4.81905202338673;4.10007419134993;14.4539516605838;8.70455641228269e-21;8.68986747333697e-18;37.0368199108516
ATF3;4.94537680999636;4.80720748718342;14.4670100221341;8.35598899528654e-21;8.68986747333697e-18;37.0236793059444
CYP1A1;6.02654587225113;1.24691686807034;14.5547371589228;6.35331059444496e-21;8.56699623275068e-18;36.883815509016
ASNS;2.8860781314832;3.89104542976511;14.3920613607987;1.0568014502671e-20;9.92958209712732e-18;36.8340795265861
SP110;2.74636491286873;5.01719725135708;14.3734469401794;1.12039881146147e-20;9.94229456415225e-18;36.7753127754039
KLF6;2.62974640980726;7.81206260016172;14.2681061896886;1.56081756399612e-20;1.31215468156368e-17;36.4679809209333
IFI16;3.12537777868873;5.25075689894666;14.1691259232972;2.13398178612563e-20;1.70430455348923e-17;36.1506046382054
IFIT3;4.87114783670144;5.89615448444515;14.0835823725927;2.7991192033555e-20;2.12906338262845e-17;35.8783999934455
PML;2.17727418680954;5.98471323921502;14.052629769394;3.08855653752595e-20;2.24243243517737e-17;35.7911980834985
DUSP1;3.48929012805538;7.43523218523606;13.999753335411;3.65494028972076e-20;2.43251505198791e-17;35.6086083401539
IFNB1;10.3750852129638;-1.09734697560554;14.5505846724567;6.43610810699356e-21;8.56699623275068e-18;35.5873035687453
ZNFX1;2.69118886293551;7.38147714704884;13.9715481608738;3.99897923626075e-20;2.55502781363172e-17;35.5384804664531
