logFC;AveExpr;t;P.Value;adj.P.Val;B
C3;1.51874291841801;7.4188415235198;9.27916727838705;5.06026843210369e-13;8.08276676659922e-09;19.3413257136123
IRF9;1.25701534356871;5.69251971461673;7.71070777851968;1.99008644763358e-10;1.58938254140256e-06;13.5557773399182
ICAM1;1.88678256844902;5.9041402208699;7.46140611196092;5.19702551353188e-10;2.76706961758816e-06;12.6713924591395
IFI27;3.01620990445551;3.94707401304923;7.02286891897232;2.814215762206e-09;1.12378670924291e-05;10.890469650441
MX1;2.60451080141614;5.16970078610897;6.81221149129434;6.32795800070222e-09;2.02152946290433e-05;10.2153597883441
SAA2;2.4268179301837;1.40536388446518;6.62769061058308;1.28501967049054e-08;3.42093653279089e-05;9.57847179601308
SAA1;2.23840258736027;2.7630794217721;6.1818388918507;7.05488127048162e-08;0.000160982312190576;7.97354004999433
ZC3H12A;1.6735799247389;6.3597661536391;6.11324011239026;9.15465655839394e-08;0.000182784161509033;7.73265126000798
IL36G;2.74496480876115;-0.422475563618601;5.9900559065215;1.45980884129231e-07;0.000233175266219621;7.23671189188222
XAF1;2.7349859911789;2.04112888258615;6.04161603019802;1.20104863601744e-07;0.000213159442923407;7.20215582365078
PLAT;1.3993281919377;4.06210982333213;5.87233002451077;2.27646060914369e-07;0.000330562775544111;6.86916664136567
SPRR2D;2.96975884271205;-0.586473178042727;5.78039397389568;3.2167655989209e-07;0.000428178307596362;6.51910210995367
CSF3;4.92449186412159;1.1461981991224;5.75892323548287;3.48670956897985e-07;0.00042840932265627;5.8158769908462
KRT6B;1.55614275071469;1.35371424430316;5.45736439093549;1.07332885142816e-06;0.00114295211625747;5.37038059265509
VNN1;1.89818618873728;0.611362922024749;5.51164354176522;8.77629632610798e-07;0.00100131272297802;5.35354254258952
MAFF;1.14561446184811;5.04912043692588;5.30911132564472;1.85494147018848e-06;0.00185181125645754;4.88820575755661
IFITM10;-1.50866812033899;2.96236492208879;-5.19485244275349;2.81957492320721e-06;0.00264923942637581;4.5050467400001
